symbol,display_name,exchange,asset_class,quote_asset,sector,enabled
ABB.NS,ABB India,NSE,equity_cash,INR,industrials,true
ADANIENT.NS,Adani Enterprises,NSE,equity_cash,INR,conglomerate,true
ADANIGREEN.NS,Adani Green Energy,NSE,equity_cash,INR,energy,true
ADANIPORTS.NS,Adani Ports,NSE,equity_cash,INR,infrastructure,true
ADANIPOWER.NS,Adani Power,NSE,equity_cash,INR,power,true
AMBUJACEM.NS,Ambuja Cements,NSE,equity_cash,INR,cement,true
APOLLOHOSP.NS,Apollo Hospitals,NSE,equity_cash,INR,healthcare,true
ASIANPAINT.NS,Asian Paints,NSE,equity_cash,INR,paints,true
AUBANK.NS,AU Small Finance Bank,NSE,equity_cash,INR,banking,true
AXISBANK.NS,Axis Bank,NSE,equity_cash,INR,banking,true
BAJAJ-AUTO.NS,Bajaj Auto,NSE,equity_cash,INR,auto,true
BAJAJFINSV.NS,Bajaj Finserv,NSE,equity_cash,INR,financial_services,true
BAJFINANCE.NS,Bajaj Finance,NSE,equity_cash,INR,financial_services,true
BEL.NS,Bharat Electronics,NSE,equity_cash,INR,defense,true
BHARTIARTL.NS,Bharti Airtel,NSE,equity_cash,INR,telecom,true
BHEL.NS,BHEL,NSE,equity_cash,INR,power,true
BOSCHLTD.NS,Bosch,NSE,equity_cash,INR,auto,true
BPCL.NS,BPCL,NSE,equity_cash,INR,energy,true
BRITANNIA.NS,Britannia Industries,NSE,equity_cash,INR,fmcg,true
CANBK.NS,Canara Bank,NSE,equity_cash,INR,banking,true
CGPOWER.NS,CG Power,NSE,equity_cash,INR,industrials,true
CHOLAFIN.NS,Cholamandalam Investment,NSE,equity_cash,INR,financial_services,true
CIPLA.NS,Cipla,NSE,equity_cash,INR,pharma,true
COALINDIA.NS,Coal India,NSE,equity_cash,INR,mining,true
COLPAL.NS,Colgate Palmolive,NSE,equity_cash,INR,fmcg,true
DABUR.NS,Dabur India,NSE,equity_cash,INR,fmcg,true
DIVISLAB.NS,Divi's Laboratories,NSE,equity_cash,INR,pharma,true
DLF.NS,DLF,NSE,equity_cash,INR,realty,true
DRREDDY.NS,Dr Reddy's Laboratories,NSE,equity_cash,INR,pharma,true
EICHERMOT.NS,Eicher Motors,NSE,equity_cash,INR,auto,true
ETERNAL.NS,Eternity Laminates,NSE,equity_cash,INR,materials,true
GAIL.NS,GAIL India,NSE,equity_cash,INR,energy,true
GMRAIRPORT.NS,GMR Airports,NSE,equity_cash,INR,infrastructure,true
GODREJCP.NS,Godrej Consumer Products,NSE,equity_cash,INR,fmcg,true
GRASIM.NS,Grasim Industries,NSE,equity_cash,INR,cement,true
HAL.NS,Hindustan Aeronautics,NSE,equity_cash,INR,defense,true
HAVELLS.NS,Havells India,NSE,equity_cash,INR,electricals,true
HCLTECH.NS,HCL Technologies,NSE,equity_cash,INR,it,true
HDFCAMC.NS,HDFC AMC,NSE,equity_cash,INR,financial_services,true
HDFCBANK.NS,HDFC Bank,NSE,equity_cash,INR,banking,true
HDFCLIFE.NS,HDFC Life Insurance,NSE,equity_cash,INR,insurance,true
HEROMOTOCO.NS,Hero MotoCorp,NSE,equity_cash,INR,auto,true
HINDALCO.NS,Hindalco Industries,NSE,equity_cash,INR,metals,true
HINDPETRO.NS,Hindustan Petroleum,NSE,equity_cash,INR,energy,true
HINDUNILVR.NS,Hindustan Unilever,NSE,equity_cash,INR,fmcg,true
ICICIBANK.NS,ICICI Bank,NSE,equity_cash,INR,banking,true
ICICIGI.NS,ICICI Lombard,NSE,equity_cash,INR,insurance,true
ICICIPRULI.NS,ICICI Prudential Life,NSE,equity_cash,INR,insurance,true
IDEA.NS,Vodafone Idea,NSE,equity_cash,INR,telecom,true
IDFCFIRSTB.NS,IDFC First Bank,NSE,equity_cash,INR,banking,true
INDHOTEL.NS,Indian Hotels,NSE,equity_cash,INR,hospitality,true
INDIGO.NS,IndiGo,NSE,equity_cash,INR,aviation,true
INDUSINDBK.NS,IndusInd Bank,NSE,equity_cash,INR,banking,true
INFY.NS,Infosys,NSE,equity_cash,INR,it,true
IOC.NS,Indian Oil Corporation,NSE,equity_cash,INR,energy,true
IRCTC.NS,IRCTC,NSE,equity_cash,INR,travel,true
ITC.NS,ITC,NSE,equity_cash,INR,fmcg,true
JINDALSTEL.NS,Jindal Steel,NSE,equity_cash,INR,metals,true
JIOFIN.NS,Jio Financial Services,NSE,equity_cash,INR,financial_services,true
JSWENERGY.NS,JSW Energy,NSE,equity_cash,INR,power,true
JSWSTEEL.NS,JSW Steel,NSE,equity_cash,INR,metals,true
KOTAKBANK.NS,Kotak Mahindra Bank,NSE,equity_cash,INR,banking,true
LICI.NS,LIC India,NSE,equity_cash,INR,insurance,true
LODHA.NS,Macrotech Developers,NSE,equity_cash,INR,realty,true
LT.NS,Larsen & Toubro,NSE,equity_cash,INR,infrastructure,true
M&M.NS,Mahindra & Mahindra,NSE,equity_cash,INR,auto,true
MARUTI.NS,Maruti Suzuki,NSE,equity_cash,INR,auto,true
MOTHERSON.NS,Motherson Sumi,NSE,equity_cash,INR,auto,true
MUTHOOTFIN.NS,Muthoot Finance,NSE,equity_cash,INR,financial_services,true
NAUKRI.NS,Naukri.com,NSE,equity_cash,INR,internet,true
NESTLEIND.NS,Nestle India,NSE,equity_cash,INR,fmcg,true
NHPC.NS,NHPC,NSE,equity_cash,INR,power,true
NTPC.NS,NTPC,NSE,equity_cash,INR,power,true
OIL.NS,Oil India,NSE,equity_cash,INR,energy,true
ONGC.NS,ONGC,NSE,equity_cash,INR,energy,true
PAGEIND.NS,Page Industries,NSE,equity_cash,INR,apparel,true
PFC.NS,Power Finance Corporation,NSE,equity_cash,INR,financial_services,true
PIDILITIND.NS,Pidilite Industries,NSE,equity_cash,INR,chemicals,true
PIIND.NS,PI Industries,NSE,equity_cash,INR,chemicals,true
PNB.NS,Punjab National Bank,NSE,equity_cash,INR,banking,true
